名字,发表时间,分数,标题,连接
杨瑞航,2019/8/12 12:20,10,流浪地球与上海堡垒,https://movie.douban.com/review/10400805
?Himawari,2019/8/12 12:16,50,内容可圈可点，还是支持一下！,https://movie.douban.com/review/10400795
豆友201748937,2019/8/12 12:15,10,吐槽这几个点吧  转载自B站,https://movie.douban.com/review/10400785
nic,2019/8/12 12:11,10,烂片中的极品,https://movie.douban.com/review/10400780
树高,2019/8/12 12:08,10,导演加演员齐齐来羞辱观众么？,https://movie.douban.com/review/10400769
悠悠岁月,2019/8/12 12:03,10,中国科幻电影有一个里程碑,https://movie.douban.com/review/10400761
一土走召,2019/8/12 12:02,10,一言难尽的糟糕,https://movie.douban.com/review/10400757
碧水桃花,2019/8/12 12:01,50,中国科幻的进步！,https://movie.douban.com/review/10400751
聽説。,2019/8/12 11:55,10,（上海堡垒）观后感，慎入！,https://movie.douban.com/review/10400734
象牙山王长贵,2019/8/12 11:50,10,中国硬汉鹿晗拯救世界！,https://movie.douban.com/review/10400719
Carrie,2019/8/12 11:50,20,╮(︶﹏︶)╭,https://movie.douban.com/review/10400718
杨风眠,2019/8/12 11:47,10,无语,https://movie.douban.com/review/10400714
逗了个伴,2019/8/12 11:45,10,堡垒和地球一起说了吧,https://movie.douban.com/review/10400703
用户3859186105,2019/8/12 11:37,10,确实很烂,https://movie.douban.com/review/10400684
linrebecca,2019/8/12 11:36,30,用心了，但是可惜还不够,https://movie.douban.com/review/10400682
老周,2019/8/12 11:35,10,关于鹿娘炮,https://movie.douban.com/review/10400679
爱唱歌的陈同学?,2019/8/12 11:31,10,毁原著的大烂片,https://movie.douban.com/review/10400675
山海,2019/8/12 11:24,10,这帮水军真恶心到我了,https://movie.douban.com/review/10400658
人生忽如寄,2019/8/12 11:23,10,本来不想给一星,https://movie.douban.com/review/10400652
明明昊昊,2019/8/12 11:18,10,抵制流量烂片，挽救中国科幻!,https://movie.douban.com/review/10400631
会飞的鱼,2019/8/12 11:17,10,观《上海堡垒》后的一点感受,https://movie.douban.com/review/10400630
年世兰,2019/8/12 11:10,10,2019年一月份光看简介就预测票房成功，现在该给我赞了吧！,https://movie.douban.com/review/10400612
温馨的租家,2019/8/12 11:04,30,好的题材偏偏妥协成烂片,https://movie.douban.com/review/10400594
陆谦,2019/8/12 11:04,20,就口碑而言,https://movie.douban.com/review/10400593
1986shw2020,2019/8/12 10:53,10,脑残粉的电影,https://movie.douban.com/review/10400562
李里理,2019/8/12 10:50,30,硬科幻不是“硬要科幻”,https://movie.douban.com/review/10400556
江炜彬,2019/8/12 10:46,10,中国科幻电影的千古绝唱！,https://movie.douban.com/review/10400545
LL,2019/8/12 10:43,10,恭喜,https://movie.douban.com/review/10400533
那年花开灬,2019/8/12 10:42,10,华语科幻电影或始于《流浪地球》，止于《上海堡垒》！,https://movie.douban.com/review/10400531
爱良一光年,2019/8/12 10:39,20,母舰一炮未发，喂喂，你是来侵略的好不，拜托你认真点！,https://movie.douban.com/review/10400519
雪狼,2019/8/12 10:31,40,特效还可以，但全程尴尬,https://movie.douban.com/review/10400494
Marlboro,2019/8/12 10:31,10,全世界最好的鹿晗,https://movie.douban.com/review/10400493
紫色街灯,2019/8/12 10:30,10,导游为什么要请一位女生来演军人？？？？？？,https://movie.douban.com/review/10400492
逍遥游,2019/8/12 10:29,30,也没有评论里说的那么不好,https://movie.douban.com/review/10400490
睡不着的小兰兰,2019/8/12 10:29,10,这么难看，难道不是为了洗钱吗？,https://movie.douban.com/review/10400488
