名字,发表时间,分数,标题,连接
周琰,2019/8/10 20:43,30,努力过了，但是做得确实一般,https://movie.douban.com/review/10394652
生活最热议,2019/8/10 20:41,30,上海壁垒，好像没有那么烂？,https://movie.douban.com/review/10394643
Jessie,2019/8/10 20:40,50,中国科幻电影史又一次进步,https://movie.douban.com/review/10394640
KOG啊染,2019/8/10 20:37,10,最催眠观影体验,https://movie.douban.com/review/10394619
一清,2019/8/10 20:37,10,国产科幻的悲哀,https://movie.douban.com/review/10394618
西贝1117,2019/8/10 20:36,50,今天下午去看的，我觉得不错啊……,https://movie.douban.com/review/10394617
麻蛋小姐,2019/8/10 20:34,20,《上海堡垒》为何不能令观众买账？,https://movie.douban.com/review/10394606
王琪 Elaine,2019/8/10 20:33,50,中国科幻电影,https://movie.douban.com/review/10394603
　,2019/8/10 20:31,10,很差,https://movie.douban.com/review/10394597
? 大鹏,2019/8/10 20:31,10,如果能一星不给该多好！,https://movie.douban.com/review/10394595
记忆中的小时光,2019/8/10 20:31,10,上海堡垒好看我不认为这部动画我认为才是中国科幻的一次尝试。,https://movie.douban.com/review/10394593
血-w-薇,2019/8/10 20:30,20,不会起标题，就是有满肚子的槽不吐不快,https://movie.douban.com/review/10394589
豆友201600601,2019/8/10 20:30,50,鹿晗加油,https://movie.douban.com/review/10394587
豆友201600706,2019/8/10 20:26,50,挺好看的,https://movie.douban.com/review/10394572
xxp,2019/8/10 20:24,10,很认真的观后感,https://movie.douban.com/review/10394567
innoo,2019/8/10 20:22,20,拖沓到睡着,https://movie.douban.com/review/10394559
清尘缘曦,2019/8/10 20:21,50,上海堡垒影评,https://movie.douban.com/review/10394554
土匪撸剧,2019/8/10 20:17,20,看完上海堡垒，真想给鹿晗送一把剃头推子，别顶韩式刘海演军人了,https://movie.douban.com/review/10394540
Schr?dingerの丶,2019/8/10 20:15,10,要是有零分毫不犹豫选择零分,https://movie.douban.com/review/10394532
雅雅,2019/8/10 20:13,40,上海堡垒真的很好看不要被黑子带节奏了！,https://movie.douban.com/review/10394529
依然之神,2019/8/10 20:11,10,悲伤逆流成河,https://movie.douban.com/review/10394516
明眸33,2019/8/10 20:10,10,上海堡垒,https://movie.douban.com/review/10394515
蓝猪23,2019/8/10 20:05,50,上海堡垒短评字写超了，那就发到长评来吧。,https://movie.douban.com/review/10394492
傲雪蓝天,2019/8/10 20:04,40,我觉得上海堡垒及格的,https://movie.douban.com/review/10394490
Kitsch.,2019/8/10 20:04,10,我以为我去看的《上海堡垒》结果给我播了一个《上海孤儿》？,https://movie.douban.com/review/10394489
串仔小和尚,2019/8/10 20:04,20,机甲英雄之沪上版京港爱情故事,https://movie.douban.com/review/10394488
emmm,2019/8/10 20:00,10,烂片烂片,https://movie.douban.com/review/10394480
诗太浓,2019/8/10 19:57,20,如何让《上海大棚》这部烂片重生,https://movie.douban.com/review/10394464
豆友420315,2019/8/10 19:56,50,好看！,https://movie.douban.com/review/10394462
Jean,2019/8/10 19:56,50,将心比心,https://movie.douban.com/review/10394461
老实的流氓兔,2019/8/10 19:55,10,无语,https://movie.douban.com/review/10394459
遥望那抹寂静、,2019/8/10 19:55,10,国产从不缺好演员，缺的是好导演和编剧！！！！,https://movie.douban.com/review/10394458
明朗,2019/8/10 19:54,10,小鲜肉模式的失败,https://movie.douban.com/review/10394453
[已注销],2019/8/10 19:54,50,各有可取，无关个人,https://movie.douban.com/review/10394451
     ﹎Ies,2019/8/10 19:50,10,老天都看不下去了，上映派来利奇马惩罚,https://movie.douban.com/review/10394443
每天都是小?,2019/8/10 19:46,50,对中国科幻电影多点信心吧 键盘侠做个人 没必要人云亦云,https://movie.douban.com/review/10394425
高三要加油,2019/8/10 19:46,40,我认为合格的上海堡垒的影评,https://movie.douban.com/review/10394424
倩影依旧,2019/8/10 19:46,10,上海爱情故事,https://movie.douban.com/review/10394421
Aotearoa,2019/8/10 19:44,50,烂片我看过不少，偏偏上海堡垒频频上热搜,https://movie.douban.com/review/10394408
Misty?,2019/8/10 19:41,40,上海堡垒全网黑的情况下，我自己的看法！（实在受不了看都不看就跟风黑的行为）,https://movie.douban.com/review/10394400
元元被人用了,2019/8/10 19:40,10,我第一次产生了逃跑的念头,https://movie.douban.com/review/10394397
瘾?,2019/8/10 19:38,50,中国科幻电影未来可期！,https://movie.douban.com/review/10394391
天涯小鸟movie,2019/8/10 19:37,30,从原著吐槽《上海堡垒》：如此粗糙还敢称筹备了6年？,https://movie.douban.com/review/10394389
nina.,2019/8/10 19:32,50,纯属路人对电影的评价,https://movie.douban.com/review/10394372
乾元用九,2019/8/10 19:32,10,必须要说,https://movie.douban.com/review/10394370
胖胖绒绒?,2019/8/10 19:28,10,原著粉的受虐过程,https://movie.douban.com/review/10394358
我一兔熊抡死你,2019/8/10 19:24,50,上海堡垒值得一看,https://movie.douban.com/review/10394355
wuVivi-EXO,2019/8/10 19:23,50,上海堡垒观后影评（不是黑也不是粉）,https://movie.douban.com/review/10394352
mark,2019/8/10 19:21,10,纯路人（手动狗头）,https://movie.douban.com/review/10394349
性空山?,2019/8/10 19:18,50,上海堡垒?不要盲目跟风,https://movie.douban.com/review/10394343
期待真情,2019/8/10 19:17,40,《上海堡垒》里的故事,https://movie.douban.com/review/10394341
村头扫片儿老太,2019/8/10 19:10,10,爱情片凭什么背这锅？,https://movie.douban.com/review/10394321
未来可欺,2019/8/10 19:06,20,《上海堡垒》真的让我失望，江南，你也不再是少年。,https://movie.douban.com/review/10394308
小甜甜言不解,2019/8/10 19:05,10,上海堡垒——两个死心眼的小学鸡打架,https://movie.douban.com/review/10394303
影叭客,2019/8/10 19:03,10,细数《上海堡垒》的七宗罪,https://movie.douban.com/review/10394294
百祥,2019/8/10 19:00,10,上海堡垒，丢到家了。,https://movie.douban.com/review/10394281
Fallune立白,2019/8/10 18:56,10,奥特曼大电影之上海特别篇,https://movie.douban.com/review/10394272
莫西子诗,2019/8/10 18:54,10,无语,https://movie.douban.com/review/10394263
弥生念,2019/8/10 18:53,10,唯一一部让我在电影院看到生理不适的电影,https://movie.douban.com/review/10394261
焱返,2019/8/10 18:44,20,退而求其次当做言情片，不然还能咋的,https://movie.douban.com/review/10394234
高雪莹?,2019/8/10 18:44,50,加油,https://movie.douban.com/review/10394231
SOME,2019/8/10 18:44,40,最最直观的观影感受，不扯深奥的,https://movie.douban.com/review/10394230
Freya,2019/8/10 18:38,10,我对科幻片又有了新的认识,https://movie.douban.com/review/10394211
豆友183090135,2019/8/10 18:36,50,好好睡，晚安,https://movie.douban.com/review/10394201
人间富士,2019/8/10 18:36,40,路人看法，求别喷。,https://movie.douban.com/review/10394198
中原微雨,2019/8/10 18:34,20,多角度分析上海堡垒,https://movie.douban.com/review/10394189
晓晨,2019/8/10 18:33,10,可能是我们错怪了它,https://movie.douban.com/review/10394185
有匪君子,2019/8/10 18:30,50,《上海堡垒》，中国科幻片的勇气,https://movie.douban.com/review/10394182
崇九,2019/8/10 18:27,20,上海堡垒：其实是爱情片，别装科幻了,https://movie.douban.com/review/10394170
尹芯雅,2019/8/10 18:25,50,虽然我们会戴3d眼镜看电影，但请摘掉“有色眼镜”来观看吧,https://movie.douban.com/review/10394160
矜贵公子,2019/8/10 18:24,50,上海堡垒影评,https://movie.douban.com/review/10394158
俊鸟,2019/8/10 18:24,10,。。。,https://movie.douban.com/review/10394157
长亭晚,2019/8/10 18:23,50,上海堡垒真的没有网上说的那么烂,https://movie.douban.com/review/10394154
Ansta,2019/8/10 18:23,50,《上海堡垒》观后感,https://movie.douban.com/review/10394153
噜啦啦噜啦啦啦,2019/8/10 18:23,10,为这部电影站台的自媒体，你们可真不要脸,https://movie.douban.com/review/10394152
闲人电影,2019/8/10 18:22,20,有「上海堡垒」这票钱，还不如留着买涪陵榨菜,https://movie.douban.com/review/10394151
飞羽星魂,2019/8/10 18:18,10,流量明星时代的终结,https://movie.douban.com/review/10394139
甜甜圈,2019/8/10 18:16,40,个人客观评价,https://movie.douban.com/review/10394136
Ayanami Rei  白,2019/8/10 18:15,10,劳资特意注册账号来給这电影和傻逼主演娘炮打一星，荣幸吧！╮(￣⊿￣)╭,https://movie.douban.com/review/10394128
Lee,2019/8/10 18:15,10,失望，被预告片骗了呀,https://movie.douban.com/review/10394127
日痕月语,2019/8/10 18:15,10,烂的没边的电影,https://movie.douban.com/review/10394125
宸二_,2019/8/10 18:15,30,编剧应该背锅,https://movie.douban.com/review/10394124
阿文,2019/8/10 18:13,50,我太生气，所以一定要写影评,https://movie.douban.com/review/10394120
桃子碎片,2019/8/10 18:12,30,。,https://movie.douban.com/review/10394113
影视圈前沿观察,2019/8/10 18:11,10,学到了好莱坞科幻片的皮毛,https://movie.douban.com/review/10394111
盒总,2019/8/10 18:09,50,科幻爱情,https://movie.douban.com/review/10394103
包子物语,2019/8/10 18:07,40,中国科幻片起于《流浪地球》，不应该止于黑子——《上海堡垒》观感,https://movie.douban.com/review/10394098
干嘛呢,2019/8/10 18:06,50,今天去看了上海堡垒，其实还不错,https://movie.douban.com/review/10394094
王莫莱,2019/8/10 18:06,50,《上海堡垒》体现了中国科幻影片的最高艺术水准,https://movie.douban.com/review/10394090
白给少年（黄杨,2019/8/10 18:06,40,上海堡垒并没有你们说的那么烂,https://movie.douban.com/review/10394089
Mr朱杰,2019/8/10 18:05,10,别的原因你们都说了，我就说一个你们不讲的,https://movie.douban.com/review/10394082
朕临天下,2019/8/10 18:04,50,平心而论 我眼中的电影《上海堡垒》,https://movie.douban.com/review/10394079
尾儿,2019/8/10 18:01,10,鹿晗演技烂透,https://movie.douban.com/review/10394069
bkm,2019/8/10 18:01,10,我抱着一丝丝希望看了30分钟，发现！,https://movie.douban.com/review/10394066
我还当你是朋友,2019/8/10 18:00,0,你们反对明星的想法我都懂，但需要长点脑子,https://movie.douban.com/review/10394055
Aether,2019/8/10 17:59,10,一部用心良苦的可怜产物,https://movie.douban.com/review/10394053
城南花已开,2019/8/10 17:59,10,电影《上海堡垒》是小说描绘的《上海堡垒》吗？,https://movie.douban.com/review/10394051
LOGIC,2019/8/10 17:58,10,到电影院去看看这部烂片,https://movie.douban.com/review/10394050
姬你太美,2019/8/10 17:57,20,b站相关热评搬运（10个）,https://movie.douban.com/review/10394046
糯米糍唔噫唔噫,2019/8/10 17:55,30,只看预告，感想如何？,https://movie.douban.com/review/10394040
修真不如修仙,2019/8/10 17:54,30,上海堡垒评分3.5，有点夸张了,https://movie.douban.com/review/10394036
豆友191385213,2019/8/10 17:52,50,上海堡垒,https://movie.douban.com/review/10394023
锋,2019/8/10 17:51,10,一部诚意十足的骗钱之作,https://movie.douban.com/review/10394022
城南花已开,2019/8/10 17:50,10,三鹿奶粉老说水军要毁掉好电影，那你咋不说鹿晗毁了好小说,https://movie.douban.com/review/10394014
_._м&#39;&#39;r咘訂,2019/8/10 17:48,10,娱乐,https://movie.douban.com/review/10394009
永恒之华,2019/8/10 17:45,10,真 毁灭原著的流量垃圾电影 我对这部电影的评价,https://movie.douban.com/review/10393997
double_cute,2019/8/10 17:43,50,上海堡垒值得,https://movie.douban.com/review/10393990
小败猪,2019/8/10 17:43,10,小说真的很好 电影真的很恶心,https://movie.douban.com/review/10393988
片儿糖,2019/8/10 17:41,20,如果是烂片，就得让资本血本无归。,https://movie.douban.com/review/10393974
飘飘丘卡特,2019/8/10 17:39,10,原著党可怜,https://movie.douban.com/review/10393968
卍微笑旳弧度,2019/8/10 17:37,50,有带给观众现实中的积极启发,https://movie.douban.com/review/10393962
城南花已开,2019/8/10 17:35,10,如果你以后不想看好的国产电影你就给它好评,https://movie.douban.com/review/10393952
十八,2019/8/10 17:33,40,上海堡垒观后感,https://movie.douban.com/review/10393948
十年之后,2019/8/10 17:31,10,纯属烂片(水军欢迎来喷),https://movie.douban.com/review/10393943
呵呵呵呵的人,2019/8/10 17:31,20,无须解释：这就是未来,https://movie.douban.com/review/10393941
泠酷の虅,2019/8/10 17:31,10,救命,https://movie.douban.com/review/10393938
涂陌 时光,2019/8/10 17:28,10,上海堡垒为什么烂,https://movie.douban.com/review/10393933
7777,2019/8/10 17:26,30,《上海堡垒》观感,https://movie.douban.com/review/10393929
cloveshirley-S,2019/8/10 17:25,20,这一次，我想选择失望,https://movie.douban.com/review/10393927
稀里哗啦2019,2019/8/10 17:21,10,看过《上海堡垒》，终于明白什么叫烂片！,https://movie.douban.com/review/10393915
Dynamite Premon,2019/8/10 17:20,20,上海堡垒——优秀的解压言情喜剧,https://movie.douban.com/review/10393911
传奇,2019/8/10 17:19,20,看过了烂片一个。,https://movie.douban.com/review/10393907
皮卡丘没电了,2019/8/10 17:17,20,食之无味的科幻战争爱情片,https://movie.douban.com/review/10393895
小范儿FYR,2019/8/10 17:17,50,《上海堡垒》,https://movie.douban.com/review/10393894
此鹿已疯-,2019/8/10 17:13,40,家国大爱  末日爱情,https://movie.douban.com/review/10393885
好东东一起分享,2019/8/10 17:13,40,鹿晗和《上海堡垒》,https://movie.douban.com/review/10393879
不羁风-说梦,2019/8/10 17:08,50,中国科幻加油，中国电影越来越强,https://movie.douban.com/review/10393861
随便什么名字给,2019/8/10 17:05,40,说一说《上海堡垒》,https://movie.douban.com/review/10393854
每天都在磕cp,2019/8/10 17:04,50,电影还不错,https://movie.douban.com/review/10393853
Change 橙子,2019/8/10 17:04,10,无语了,https://movie.douban.com/review/10393850
起风起不息,2019/8/10 17:02,10,打了个一星竟然举报我，水军非逼我写字,https://movie.douban.com/review/10393843
维荣,2019/8/10 17:00,10,烂啊……,https://movie.douban.com/review/10393831
起起,2019/8/10 16:59,40,我们要拥有自己的想法，而不是全盘否定或肯定,https://movie.douban.com/review/10393825
mango.rmvb,2019/8/10 16:59,30,只想说两句公道话,https://movie.douban.com/review/10393822
Ni,2019/8/10 16:55,40,也许你们也不明白,https://movie.douban.com/review/10393803
p-bird,2019/8/10 16:55,10,不值得观看,https://movie.douban.com/review/10393800
单嘉穎,2019/8/10 16:54,10,经典,https://movie.douban.com/review/10393794
。,2019/8/10 16:52,10,搞事情,https://movie.douban.com/review/10393792
石吉,2019/8/10 16:51,10,“佳作”上海堡垒,https://movie.douban.com/review/10393784
少剑,2019/8/10 16:50,10,这锅鹿晗背定了,https://movie.douban.com/review/10393777
Yippee_Longer,2019/8/10 16:47,30,不要盲目跟风，你怎么评判只是基于你的眼光,https://movie.douban.com/review/10393766
Rui,2019/8/10 16:47,10,穿着科幻的皮囊，卖着伪爱情的药,https://movie.douban.com/review/10393765
刚刚分手的青春,2019/8/10 16:44,50,视角，和特效都很好，有种和美国科技大片接轨的感觉，但又包含中国特色,https://movie.douban.com/review/10393756
你会发光i,2019/8/10 16:41,50,抛开成见，用心观影,https://movie.douban.com/review/10393746
阿严的心情日记,2019/8/10 16:40,10,大周末的看这部影片很糟心,https://movie.douban.com/review/10393745
豆友190956457,2019/8/10 16:40,10,鹿晗发挥稳定..,https://movie.douban.com/review/10393741
有法有天,2019/8/10 16:38,10,奇耻大辱,https://movie.douban.com/review/10393738
豆友201577224,2019/8/10 16:31,10,烂的方式有多少种？这部电影教会了我一下几种,https://movie.douban.com/review/10393713
宝贝灬对不起,2019/8/10 16:30,10,统统滴都给我让开，上海是我们大帝国协皇军保卫滴，那谁，你妈叫你回去剪头发,https://movie.douban.com/review/10393707
腐男,2019/8/10 16:30,10,抵制垃圾电影，拒绝流量还回高品质电影,https://movie.douban.com/review/10393700
appletreeeee,2019/8/10 16:28,40,支持有诚意的国产原创科幻,https://movie.douban.com/review/10393694
Dylan,2019/8/10 16:27,10,“太空”堡垒，太空了而去看了《上海堡垒》,https://movie.douban.com/review/10393688
卖火柴的公主,2019/8/10 16:27,40,观《上海堡垒》有感,https://movie.douban.com/review/10393685
湍流,2019/8/10 16:26,10,这电影真无语,https://movie.douban.com/review/10393681
baoxi,2019/8/10 16:22,10,很烂。但是烂的很均匀,https://movie.douban.com/review/10393668
归来仍少年,2019/8/10 16:20,10,真的不好看…,https://movie.douban.com/review/10393665
黄淘淘,2019/8/10 16:17,20,没看完,https://movie.douban.com/review/10393654
AshbringerKira,2019/8/10 16:17,20,上海堡垒影评,https://movie.douban.com/review/10393653
节操君,2019/8/10 16:17,50,小细节特别多，需要认真看,https://movie.douban.com/review/10393650
星空,2019/8/10 16:15,30,到底还是这届网友太坏了,https://movie.douban.com/review/10393645
Outwalker,2019/8/10 16:15,40,特效良心，跌宕起伏，选角失败，但不算烂片。,https://movie.douban.com/review/10393644
Miracle,2019/8/10 16:15,50,上海堡垒,https://movie.douban.com/review/10393643
浅忆,2019/8/10 16:11,10,这才是烂片！烂出新高度！对烂片的重新定义！,https://movie.douban.com/review/10393629
满街赶路人,2019/8/10 16:08,10,给杨治书,https://movie.douban.com/review/10393622
?,2019/8/10 16:08,10,恶心！真的恶心！！,https://movie.douban.com/review/10393620
阿拉丁SLing,2019/8/10 16:07,10,烂、土、尬,https://movie.douban.com/review/10393615
香蕉不蕉,2019/8/10 16:06,10,鹿晗出道以来演技一直很均匀。,https://movie.douban.com/review/10393612
烈烈家啵啵,2019/8/10 16:06,10,没人会等着鹿晗成长,https://movie.douban.com/review/10393611
Ts,2019/8/10 16:05,10,划时代史诗级巨作中国科幻的严冬——负分堡垒,https://movie.douban.com/review/10393608
dht@#7079,2019/8/10 16:02,10,看过最差的电影,https://movie.douban.com/review/10393601
狂龙,2019/8/10 16:02,10,我只能说深圳太真实了，周末两天，共排片两场,https://movie.douban.com/review/10393599
阿灿,2019/8/10 15:59,10,终结者,https://movie.douban.com/review/10393587
深白天帝,2019/8/10 15:59,20,薄弱薄弱太薄弱！,https://movie.douban.com/review/10393583
佳片视界,2019/8/10 15:58,10,《上海堡垒》口碑票房彻底扑街！从主角造型就能看出是烂片了,https://movie.douban.com/review/10393578
Crimson,2019/8/10 15:58,10,热评第四捧鹿晗顺手黑一下吴亦凡，完美饭圈操作，学到了学到了,https://movie.douban.com/review/10393577
瑶森,2019/8/10 15:58,10,原来刷五星的真不是水军……,https://movie.douban.com/review/10393576
521cat,2019/8/10 15:55,10,昨晚看了，很伤心，不如去吃顿沙县鸡腿饭,https://movie.douban.com/review/10393563
魏晋疯度,2019/8/10 15:54,30,《上海堡垒》的槽点，不吐不快,https://movie.douban.com/review/10393558
冷漠市民邓桑,2019/8/10 15:52,10,#上海山炮#,https://movie.douban.com/review/10393551
笔墨丹青,2019/8/10 15:50,10,给一星是因为最低只有一星了,https://movie.douban.com/review/10393543
豆友191076469,2019/8/10 15:47,10,流量明星的时代过去了,https://movie.douban.com/review/10393529
唐朝不良人,2019/8/10 15:47,30,《上海堡垒》不吐不快,https://movie.douban.com/review/10393524
士烨,2019/8/10 15:46,10,鹿小姐怎么永远是一副有气无力的表情，上海沦陷，也轮不到这样的女子来拯救吧 ，导演你在侮辱大家智商吧。从开始到结尾，没有看出一点悲壮和大片的感觉，不要说特效怎么样，此片的特效也就一般水平。,https://movie.douban.com/review/10393520
只吃汉堡,2019/8/10 15:45,10,电影简介告诉我们答案,https://movie.douban.com/review/10393515
嚚簠蘭,2019/8/10 15:43,10,科幻电影的堡垒？小鲜肉经济的堡垒！,https://movie.douban.com/review/10393510
不器,2019/8/10 15:43,10,上海堡垒已经这样了，求江南别对龙族下手,https://movie.douban.com/review/10393509
人在风中,2019/8/10 15:40,10,垃圾电影,https://movie.douban.com/review/10393502
?猫,2019/8/10 15:33,50,上海堡垒 没那么差 自己去看过才知道,https://movie.douban.com/review/10393484
世外,2019/8/10 15:33,20,《上海堡垒》口碑票房双败，小鲜肉的高流量将成为传说,https://movie.douban.com/review/10393482
Mr.Bahubali,2019/8/10 15:29,10,我拿这钱去2刷哪吒不香吗？,https://movie.douban.com/review/10393465
初见.,2019/8/10 15:28,50,?,https://movie.douban.com/review/10393463
Dark Knight Bat,2019/8/10 15:19,30,上海堡垒——奥斯卡级别的封神之作,https://movie.douban.com/review/10393440
Michael,2019/8/10 15:17,50,中国需要的是超越美国十倍的科幻片！,https://movie.douban.com/review/10393429
Mr.Bahubali,2019/8/10 15:12,10,我还想再活500年,https://movie.douban.com/review/10393413
没天理的生物钟,2019/8/10 15:12,40,虽然故事有点平，但加上特效啥的勉勉强强也有六七分！但这个分被刷的有点低了吧,https://movie.douban.com/review/10393409
魏鹏（James）,2019/8/10 15:11,10,无法想象鹿晗拯救世界,https://movie.douban.com/review/10393407
缘止,2019/8/10 15:10,10,希望多一点值得让人心甘情愿拿钱去看的电影,https://movie.douban.com/review/10393404
墨色尘埃,2019/8/10 15:10,10,《上海堡垒》：国产科幻电影这是造了什么孽？,https://movie.douban.com/review/10393403
bnuapple,2019/8/10 15:10,30,支持中国科幻，客观评价，三星是不错的。,https://movie.douban.com/review/10393402
玲,2019/8/10 15:08,10,点开不会失望,https://movie.douban.com/review/10393399
赤橙黄绿青蓝紫?,2019/8/10 15:08,50,语言的力量真的很可怕,https://movie.douban.com/review/10393398
加厚秋裤,2019/8/10 15:07,0,【气愤】批评与消遣《上海堡垒》的都是什么人？？,https://movie.douban.com/review/10393394
昨迟人,2019/8/10 15:07,20,一星打给看原著的回忆，一星打给鹿晗唱的世界末日,https://movie.douban.com/review/10393393
。。。。,2019/8/10 15:03,10,中国科幻元年的谢幕？,https://movie.douban.com/review/10393387
女孩的梦,2019/8/10 15:03,40,《上海堡垒》二三事,https://movie.douban.com/review/10393386
罗曼诺夫美美花,2019/8/10 15:03,20,爱情片和科幻片的极度割裂,https://movie.douban.com/review/10393383
执麦者,2019/8/10 15:02,10,上海堡垒，到底烂在哪里？,https://movie.douban.com/review/10393380
L,2019/8/10 14:59,10,定位有问题,https://movie.douban.com/review/10393364
薄荷柠檬,2019/8/10 14:57,10,忍无可忍的莫名其妙,https://movie.douban.com/review/10393355
夜晅,2019/8/10 14:53,10,中国科幻电影的路还很长,https://movie.douban.com/review/10393342
会肥的猪猪,2019/8/10 14:53,50,从原著角度我来看上海堡垒的好坏,https://movie.douban.com/review/10393339
驯鹿9094,2019/8/10 14:52,40,非专业人士的观后感,https://movie.douban.com/review/10393335
.,2019/8/10 14:51,50,好看,https://movie.douban.com/review/10393329
jun事联袂,2019/8/10 14:50,10,一个??不能再多了！,https://movie.douban.com/review/10393327
宇,2019/8/10 14:49,10,上海恋情,https://movie.douban.com/review/10393324
吴羲和,2019/8/10 14:49,10,没看过的就避雷吧，特别是看过原著的，当然你要是时间多我也无话可说。,https://movie.douban.com/review/10393323
爱唱歌的天蝎,2019/8/10 14:49,30,看出老贼用心了的《上海堡垒》，究竟问题出在了哪？,https://movie.douban.com/review/10393322
我无敌你随意,2019/8/10 14:48,50,支持！,https://movie.douban.com/review/10393320
倾然夏沐,2019/8/10 14:48,30,纯路人看上海堡垒,https://movie.douban.com/review/10393318
°,2019/8/10 14:45,10,上海堡垒观后感,https://movie.douban.com/review/10393313
西西,2019/8/10 14:45,40,上海堡垒,https://movie.douban.com/review/10393310
果,2019/8/10 14:44,50,上海堡垒不该被恶意中伤,https://movie.douban.com/review/10393308
幻想家,2019/8/10 14:43,10,《上海堡垒》影评,https://movie.douban.com/review/10393302
「H  i 」,2019/8/10 14:41,10,我突然发现！,https://movie.douban.com/review/10393294
区区Yamada,2019/8/10 14:40,10,矛盾体电影,https://movie.douban.com/review/10393293
无径之林,2019/8/10 14:35,10,我就想问一句,https://movie.douban.com/review/10393274
Demi,2019/8/10 14:34,50,总要有人第一个吃螃蟹  仁者见仁,https://movie.douban.com/review/10393269
你你你你你！,2019/8/10 14:28,10,垃圾电影，骗钱的，讲爱情比战斗情况多，取景垃圾，特效垃圾,https://movie.douban.com/review/10393255
社会主义接班人,2019/8/10 14:24,50,绝对是一部值得看的中国科幻电影,https://movie.douban.com/review/10393247
豆友191511598,2019/8/10 14:23,10,不好看,https://movie.douban.com/review/10393246
ZUN,2019/8/10 14:21,10,被安排得明明白白,https://movie.douban.com/review/10393236
菩提迦叶,2019/8/10 14:20,10,《上海堡垒》烂片不能全怪鹿晗和舒淇,https://movie.douban.com/review/10393231
默,2019/8/10 14:17,10,烂片中的战斗机,https://movie.douban.com/review/10393228
W.Q.,2019/8/10 14:17,20,上海堡垒，看完后叹出一口气,https://movie.douban.com/review/10393225
璃子啊哈,2019/8/10 14:16,50,上海堡垒,https://movie.douban.com/review/10393222
大风,2019/8/10 14:15,10,前几年见识抗日神剧，现今见识科幻神剧,https://movie.douban.com/review/10393215
无知道了,2019/8/10 14:15,30,给自己~,https://movie.douban.com/review/10393214
秀才,2019/8/10 14:09,10,《上海堡垒》目前票房是虚高了吗？,https://movie.douban.com/review/10393195
hobo酱～^_^,2019/8/10 14:08,10,太垃圾了,https://movie.douban.com/review/10393191
哇咔咔,2019/8/10 14:07,10,不错的电影,https://movie.douban.com/review/10393190
声色,2019/8/10 14:07,10,给个评价吧:★☆☆☆☆很差,https://movie.douban.com/review/10393187
烟波钓叟,2019/8/10 14:04,10,大部分人没有针对鹿晗,https://movie.douban.com/review/10393180
弗朗先生,2019/8/10 14:04,10,三分以上我不服,https://movie.douban.com/review/10393175
密斯婕茜,2019/8/10 14:02,10,简评《上海堡垒》,https://movie.douban.com/review/10393170
螃蟹,2019/8/10 14:02,10,男女主角没有一点军人的气质,https://movie.douban.com/review/10393169
佛洛依德弟子,2019/8/10 14:02,10,辣鸡鹿晗,https://movie.douban.com/review/10393166
凌月仙姬,2019/8/10 14:02,20,这是个智障片儿,https://movie.douban.com/review/10393165
秋易无忧,2019/8/10 13:56,20,剧情的弱鸡却让流量买单,https://movie.douban.com/review/10393145
可可爱玩魔方,2019/8/10 13:55,20,上海堡垒观后,https://movie.douban.com/review/10393144
冀照寜,2019/8/10 13:55,30,这电影真的没那么差！,https://movie.douban.com/review/10393143
Amber,2019/8/10 13:54,10,失败的投机,https://movie.douban.com/review/10393141
篮球霸王蔡徐坤,2019/8/10 13:54,10,呜呼哀哉,https://movie.douban.com/review/10393140
扶风,2019/8/10 13:53,10,希望好好讲故事,https://movie.douban.com/review/10393137
I&#39;am.....,2019/8/10 13:51,10,科幻版的乡村爱情故事,https://movie.douban.com/review/10393127
胡子,2019/8/10 13:51,10,国产科幻？笑掉大牙。,https://movie.douban.com/review/10393126
薛寒寒,2019/8/10 13:51,50,关于爱情,https://movie.douban.com/review/10393124
咸蛋?,2019/8/10 13:50,10,给中国科幻敲个警钟，别把观众当瞎子,https://movie.douban.com/review/10393123
薛寒寒,2019/8/10 13:49,50,关于人物,https://movie.douban.com/review/10393120
薛寒寒,2019/8/10 13:49,50,关于特效,https://movie.douban.com/review/10393119
无聊的我很无聊,2019/8/10 13:48,20,不太清楚这部电影的定位,https://movie.douban.com/review/10393114
钱朵朵,2019/8/10 13:48,20,真的好尴尬。,https://movie.douban.com/review/10393113
兰溪老道,2019/8/10 13:46,10,《上海堡垒》千古，商人杨治一路走好,https://movie.douban.com/review/10393105
瑶森,2019/8/10 13:46,10,江南都不敢说话了，鹿晗粉丝还在洗？！,https://movie.douban.com/review/10393104
你豆,2019/8/10 13:42,50,上海堡垒,https://movie.douban.com/review/10393092
梦一样自由,2019/8/10 13:39,10,啥也不说上评论,https://movie.douban.com/review/10393085
asiluge,2019/8/10 13:39,10,真心失望，第一次影评就这样给了上海堡垒。,https://movie.douban.com/review/10393084
豆友181694058,2019/8/10 13:35,10,呵呵,https://movie.douban.com/review/10393065
想飞的麻瓜,2019/8/10 13:34,40,《上海堡垒》观后感,https://movie.douban.com/review/10393064
半烟,2019/8/10 13:34,10,科幻界的灾难《上海堡垒》,https://movie.douban.com/review/10393062
。,2019/8/10 13:33,20,贫穷不会限制人的想象力，烂片才会,https://movie.douban.com/review/10393060
平南kk,2019/8/10 13:29,10,不好看,https://movie.douban.com/review/10393046
梧桐树下你和我,2019/8/10 13:28,20,这根本不是科幻片，是爱情片！,https://movie.douban.com/review/10393041
