播放次数,歌单拥有者,歌单标题,歌单连接
46万,迟到情书,玫 瑰 色 的 张 悬,https://music.163.com/playlist/477929120
27万,parhatjan-obul,anzar 吉他曲全集,https://music.163.com/playlist/2061907698
76081,blackSuit-M,『视频剪辑』适合PR视频剪辑BGM的音乐,https://music.163.com/playlist/809126269
1438万,淘漉音乐,陈粒：民谣界唯一老公,https://music.163.com/playlist/518508697
248万,猫头罐与六便士,民谣与诗｜陪你度过独处时光,https://music.163.com/playlist/2746362944
72725,蘇葛士,「中古」苏格兰风笛丨凯尔特之风,https://music.163.com/playlist/980505751
290万,爱小弗森,赵雷最好听的二十首歌,https://music.163.com/playlist/385793698
252万,原创君,「暖心民谣」愿你遇见平凡生活里的浪漫诗意,https://music.163.com/playlist/2808124731
264万,鹤禅眠,那些没实现的梦想，后来都谱成了民谣,https://music.163.com/playlist/2749548726
63万,大叔_何足道哉,「民谣」有没有哪首让你惊艳的民谣？,https://music.163.com/playlist/2686215664
178万,原创君,「民谣歌者」一切高贵的情感都羞于表白,https://music.163.com/playlist/2870214925
60万,过江鲫n-n,花粥（在夜半三更过天桥）,https://music.163.com/playlist/2462904862
450万,阿森u,隔壁老樊〖NO.1〗,https://music.163.com/playlist/2196552576
735万,小攀哟,孤独患者丨隔壁老樊-北方的樊凯杰,https://music.163.com/playlist/2445761489
37万,Chicago-1994,白山茶-陈雪凝,https://music.163.com/playlist/1985435402
13万,皮杰伦,抖音热门bgm,https://music.163.com/playlist/2584575609
60852,小双儿呀,民谣讨论孤独,https://music.163.com/playlist/2256606891
75779,站在冰箱上蹦蹦迪丶,陈小姐的话[民谣],https://music.163.com/playlist/2238189405
90130,开心的小小高,一个水瓶座的民谣歌单,https://music.163.com/playlist/750393793
17万,Rocix,这一生关于你的歌,https://music.163.com/playlist/2560433155
76190,久违i996,民谣 | 你是我患得患失的梦,https://music.163.com/playlist/2524629565
24万,图文杂货铺,民谣┇苦不会尽 你不会来 ²,https://music.163.com/playlist/2624499225
